id,usuarioId,deslocamentoId,tipo
1,8502,1,1
2,33095,2,1
3,31666,3,1
4,29747,4,1
5,39348,5,1
6,49640,6,1
7,4293,7,1
8,1553,8,1
9,33716,9,1
10,49993,10,1
11,6254,11,1
12,31870,12,1
13,28261,13,1
14,7535,14,1
15,35705,15,1
16,47983,16,1
17,20473,17,1
18,3954,18,1
19,1547,19,1
20,11494,20,1
21,45853,21,1
22,25897,22,1
23,34436,23,1
24,24214,24,1
25,40049,25,1
26,29943,26,1
27,17692,27,1
28,9795,28,1
29,31610,29,1
30,18151,30,1
31,13631,31,1
32,11473,32,1
33,41016,33,1
34,48538,34,1
35,46963,35,1
36,16405,36,1
37,12552,37,1
38,45773,38,1
39,172,39,1
40,46319,40,1
41,1986,41,1
42,33696,42,1
43,153,43,1
44,39452,44,1
45,24109,45,1
46,3288,46,1
47,32757,47,1
48,5543,48,1
49,24116,49,1
50,44542,50,1
51,37532,51,1
52,38880,52,1
53,11722,53,1
54,867,54,1
55,39954,55,1
56,14710,56,1
57,27582,57,1
58,27723,58,1
59,39382,59,1
60,41492,60,1
61,24788,61,1
62,13327,62,1
63,37561,63,1
64,14255,64,1
65,46890,65,1
66,22069,66,1
67,14037,67,1
68,4119,68,1
69,35071,69,1
70,19135,70,1
71,24605,71,1
72,7486,72,1
73,44654,73,1
74,32668,74,1
75,25280,75,1
76,20041,76,1
77,48227,77,1
78,17970,78,1
79,21695,79,1
80,4158,80,1
81,41565,81,1
82,14169,82,1
83,26940,83,1
84,35058,84,1
85,45905,85,1
86,39674,86,1
87,19299,87,1
88,41643,88,1
89,25840,89,1
90,46197,90,1
91,44827,91,1
92,976,92,1
93,45840,93,1
94,16179,94,1
95,41401,95,1
96,35549,96,1
97,49929,97,1
98,33493,98,1
99,18703,99,1
100,41337,100,1
101,4918,101,1
102,33831,102,1
103,13653,103,1
104,23806,104,1
105,7289,105,1
106,36679,106,1
107,32164,107,1
108,44228,108,1
109,36665,109,1
110,48253,110,1
111,19910,111,1
112,7325,112,1
113,32752,113,1
114,1423,114,1
115,24948,115,1
116,492,116,1
117,8879,117,1
118,31883,118,1
119,19051,119,1
120,27970,120,1
121,30138,121,1
122,13417,122,1
123,4925,123,1
124,43979,124,1
125,4348,125,1
126,20498,126,1
127,5111,127,1
128,17841,128,1
129,31416,129,1
130,33835,130,1
131,18356,131,1
132,39911,132,1
133,46096,133,1
134,29370,134,1
135,9524,135,1
136,21785,136,1
137,29280,137,1
138,42691,138,1
139,22053,139,1
140,10008,140,1
141,47864,141,1
142,10366,142,1
143,31229,143,1
144,11019,144,1
145,24498,145,1
146,19794,146,1
147,37192,147,1
148,27028,148,1
149,43986,149,1
150,10514,150,1
151,39553,151,1
152,46311,152,1
153,2556,153,1
154,39137,154,1
155,26154,155,1
156,2410,156,1
157,18049,157,1
158,3781,158,1
159,36962,159,1
160,44681,160,1
161,35243,161,1
162,39320,162,1
163,43767,163,1
164,12204,164,1
165,34815,165,1
166,22923,166,1
167,36638,167,1
168,26921,168,1
169,38872,169,1
170,32497,170,1
171,24613,171,1
172,14456,172,1
173,43415,173,1
174,23289,174,1
